ID,Titre,Prix,Année,Ville,Carburant,Lien
464683,CITROEN  C-elysee,Appeler pour le prix,,2021,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464683/citroen-c-elysee-.html
464684,HYUNDAI  Tucson,Appeler pour le prix,,2021,Casablanca,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464684/hyundai-tucson-.html
